,date_time,symbol,direction,quantity,order_price,return_profit,return_profit_pct
0,2014-10-23,600639,EXIT,100,66.33,-215.29999999999916,-0.031439377345540975
0,2014-08-25,600036,EXIT,100,43.87,348.981944444445,0.08642834809366597
0,2014-10-30,600639,LONG,100,75.39,,
0,2014-10-30,600036,LONG,100,43.41,,
0,2015-01-28,600036,EXIT,100,60.25,3854.0000000000005,1.7755459320003688
0,2015-05-05,600639,EXIT,100,136.06,6066.400000000001,0.8046583809738562
0,2015-03-12,600036,LONG,100,62.73,,
0,2015-05-22,600639,LONG,100,154.41,,
0,2015-03-25,600036,STOP_LOSS,100,62.86,,
0,2015-04-13,600036,LONG,100,71.44,,
0,2015-06-26,600639,EXIT,100,146.08,6887.7,0.8921428941505621
0,2015-05-15,600036,EXIT,100,71.15,620.9249999999984,0.09561260668214179
0,2015-05-22,600036,LONG,100,77.54,,
0,2015-08-12,600639,LONG,100,126.61,,
0,2015-06-19,600036,STOP_LOSS,100,74.63,,
0,2015-08-25,600639,STOP_LOSS,100,103.0,,
0,2015-07-07,600036,LONG,100,86.92,,
0,2015-07-14,600036,STOP_LOSS,100,76.86,,
0,2015-09-22,600639,LONG,100,132.21,,
0,2015-08-10,600036,LONG,100,80.08,,
0,2015-08-18,600036,STOP_LOSS,100,72.25,,
0,2015-09-14,600036,LONG,100,78.92,,
0,2015-11-26,600639,EXIT,100,139.41,5775.692857142857,0.707336787510377
0,2015-11-25,600036,EXIT,100,76.25,-171.0844444444433,-0.02194379347044722
0,2016-02-17,600639,LONG,100,101.23,,
0,2015-12-21,600036,LONG,100,78.4,,
0,2016-01-05,600036,STOP_LOSS,100,74.1,,
0,2016-03-03,600036,LONG,100,65.16,,
0,2016-04-27,600639,EXIT,100,95.28,-594.4999999999993,-0.058728230052652826
0,2016-05-06,600639,LONG,100,108.54,,
0,2016-03-14,600036,STOP_LOSS,100,67.61,,
0,2016-03-16,600036,LONG,100,70.62,,
0,2016-06-13,600639,EXIT,100,114.26,571.5999999999995,0.05266018701920857
0,2016-06-24,600639,LONG,100,138.15,,
0,2016-04-29,600036,STOP_LOSS,100,76.34,,
0,2016-05-31,600036,LONG,100,77.42,,
0,2016-07-29,600639,EXIT,100,120.8,-1735.3999999999999,-0.12561344586475962
0,2016-06-13,600036,STOP_LOSS,100,74.49,,
0,2016-07-13,600036,LONG,100,76.3,,
0,2016-11-11,600639,LONG,100,113.27,,
0,2016-09-12,600036,STOP_LOSS,100,80.11,,
0,2016-12-09,600639,EXIT,100,110.74,7298.2,1.9329907829219197
0,2016-11-21,600036,LONG,100,82.08,,
0,2017-02-14,600639,LONG,100,108.38,,
0,2016-12-15,600036,STOP_LOSS,100,81.63,,
0,2017-03-08,600639,EXIT,100,106.43,5223.6,0.9639416866580551
0,2017-01-13,600036,LONG,100,81.54,,
0,2017-03-17,600036,EXIT,100,84.18,264.00000000000006,0.03237754175967034
0,2017-05-31,600639,LONG,100,101.88,,
0,2017-05-11,600036,LONG,100,86.19,,
0,2017-07-18,600639,EXIT,100,102.44,56.19999999999976,0.005516131248589045
0,2017-07-27,600639,LONG,100,105.64,,
0,2017-06-06,600036,STOP_LOSS,100,98.14,,
0,2017-06-22,600036,LONG,100,105.18,,
0,2017-08-24,600639,EXIT,100,103.14,-249.60000000000093,-0.02362786118631562
0,2017-08-11,600036,EXIT,100,113.33,3118.6333333333323,0.3796744569209353
0,2017-10-20,600639,LONG,100,110.74,,
0,2017-10-23,600639,STOP_LOSS,100,106.22,,
0,2017-08-24,600036,LONG,100,123.51,,
0,2017-09-18,600036,EXIT,100,119.2,7803.4,1.895455318322038
0,2017-10-16,600036,LONG,100,124.34,,
0,2018-01-04,600639,LONG,100,104.13,,
0,2018-01-11,600639,STOP_LOSS,100,99.83,,
0,2017-12-15,600036,EXIT,100,129.85,550.6,0.04428180794595464
0,2017-12-26,600036,LONG,100,137.48,,
0,2018-02-08,600036,EXIT,100,144.75,726.5000000000015,0.05284328130227968
0,2018-05-11,600036,LONG,100,139.19,,
0,2018-05-30,600036,STOP_LOSS,100,130.96,,
0,2018-07-26,600639,LONG,100,73.34,,
0,2018-08-17,600639,STOP_LOSS,100,67.23,,
0,2018-07-20,600036,LONG,100,130.83,,
0,2018-08-17,600036,EXIT,100,126.72,-750.4599999999996,-0.05590993141448861
0,2018-11-02,600639,LONG,100,66.46,,
0,2018-09-21,600036,LONG,100,144.78,,
0,2018-11-22,600639,STOP_LOSS,100,81.77,,
0,2018-10-11,600036,STOP_LOSS,100,135.94,,
0,2018-11-02,600036,LONG,100,144.93,,
0,2018-11-14,600036,STOP_LOSS,100,134.56,,
0,2019-01-15,600639,LONG,100,70.91,,
0,2019-01-31,600639,EXIT,100,67.05,-441.6714285714292,-0.061799268810928336
0,2019-02-14,600639,LONG,100,73.16,,
0,2019-01-18,600036,LONG,100,129.49,,
0,2019-03-20,600639,STOP_LOSS,100,85.86,,
0,2019-03-22,600639,LONG,100,94.64,,
0,2019-04-29,600639,EXIT,100,89.3,759.5499999999987,0.09295850492910757
0,2019-06-25,600639,LONG,100,94.35,,
0,2019-05-06,600036,EXIT,100,162.03,4457.041666666666,0.37944029461613277
0,2019-07-22,600639,STOP_LOSS,100,87.17,,
0,2019-06-03,600036,LONG,100,164.38,,
0,2019-07-10,600036,EXIT,100,167.82,8562.85,1.041867680608365
0,2019-07-22,600036,LONG,100,178.46,,
0,2019-08-07,600036,STOP_LOSS,100,169.43,,
0,2019-10-09,600639,LONG,100,87.47,,
0,2019-10-30,600639,STOP_LOSS,100,83.11,,
0,2019-10-11,600036,LONG,100,178.07,,
0,2019-12-11,600639,LONG,100,80.32,,
0,2020-02-03,600639,STOP_LOSS,100,72.88,,
0,2020-03-05,600639,LONG,100,80.02,,
0,2020-03-13,600639,STOP_LOSS,100,75.84,,
0,2020-01-23,600036,EXIT,100,180.62,584.8600000000005,0.03346428534645832
0,2020-04-10,600639,LONG,100,76.39,,
0,2020-03-05,600036,LONG,100,177.77,,
0,2020-04-29,600639,STOP_LOSS,100,79.05,,
0,2020-04-30,600639,LONG,100,86.44,,
0,2020-03-09,600036,EXIT,100,167.72,7882.8,0.8868338452192109
0,2020-04-17,600036,LONG,100,161.24,,
0,2020-06-15,600639,STOP_LOSS,100,89.77,,
0,2020-06-30,600639,LONG,100,96.73,,
0,2020-07-24,600639,EXIT,100,92.42,372.9666666666674,0.04205363351060839
0,2020-06-23,600036,EXIT,100,163.64,240.5000000000001,0.014915838698073662
0,2020-07-03,600036,LONG,100,180.28,,
0,2020-10-20,600639,LONG,100,82.06,,
0,2020-09-04,600036,EXIT,100,186.17,589.2000000000024,0.032683037769654616
0,2020-11-16,600639,EXIT,100,78.24,3720.7499999999995,0.9068254103654597
0,2020-09-18,600036,LONG,100,197.25,,
0,2020-09-24,600036,STOP_LOSS,100,187.48,,
0,2020-10-15,600036,LONG,100,197.35,,
0,2020-12-10,600639,LONG,100,79.53,,
0,2020-12-28,600639,EXIT,100,77.07,5718.374999999999,2.87597600995813
0,2020-12-11,600036,EXIT,100,215.92,2188.8000000000006,0.11280904204054078
0,2021-02-25,600639,LONG,100,74.85,,
0,2021-01-07,600036,LONG,100,232.2,,
0,2021-03-09,600639,STOP_LOSS,100,74.54,,
0,2021-03-16,600639,LONG,100,76.08,,
0,2021-02-26,600036,EXIT,100,258.51,14240.949999999997,1.2265842682112786
0,2021-05-07,600639,EXIT,100,73.12,-195.7250000000002,-0.02606946752221851
0,2021-06-02,600639,LONG,100,80.09,,
0,2021-04-21,600036,LONG,100,267.57,,
0,2021-06-18,600639,STOP_LOSS,100,86.99,,
0,2021-07-13,600639,LONG,100,88.66,,
0,2021-07-19,600639,EXIT,100,82.55,-140.67500000000024,-0.016755650975055637
0,2021-06-21,600036,EXIT,100,271.61,13783.049999999997,1.0302503671977483
0,2021-08-31,600639,LONG,100,75.94,,
0,2021-09-30,600639,EXIT,100,72.73,-321.09999999999985,-0.042284495246121816
0,2021-08-13,600036,LONG,100,265.52,,
0,2021-11-23,600639,LONG,100,74.18,,
0,2021-11-05,600036,EXIT,100,267.49,197.199999999998,0.007427019738849038
